#####################################################################
# Alchemist log file - simulation started at: 2025-01-22T10:08+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.171 1.40 1.07 0.145 2.547356069087982 6.8704081773757935 4.325258016896745 1.5876598842322216 0.6526946107784432 0.9533799533799534 0.8132709212396948 0.00907940312208564
2.2 0.129 0.703 0.457 0.0491 1.8175234720110893 4.708686470985413 2.9237044267938472 0.6650859809326696 0.7664670658682635 0.9671361502347418 0.8774552988471629 0.0037938679760246598
3.2 0.0795 0.446 0.280 0.0181 1.57228584587574 4.086821246892214 2.498506010694352 0.44629742732859995 0.8083832335329342 0.9743589743589743 0.8927325461113587 0.0025024111275054146
4.2 0.0568 0.316 0.192 0.00856 1.2420972809195518 4.031330903992057 2.3256693874330567 0.4022094998959886 0.8263473053892215 0.9696969696969697 0.9003516797893393 0.002006465068500572
5.2 0.0360 0.246 0.138 0.00487 1.1168164536356926 4.280623121187091 2.2663807816716144 0.3886637854332225 0.8383233532934131 0.9696969696969697 0.9048825016707632 0.0017128484785723138
6.2 0.0272 0.326 0.186 0.00881 1.1153907105326653 3.9612268302589655 2.115428466724394 0.38555922377675805 0.8263473053892215 0.9765258215962441 0.9125349924976911 0.0016747694611307237
7.2 0.0163 0.232 0.125 0.00431 1.0427749678492546 4.010097177699208 2.121197336753223 0.3552051540265013 0.8383233532934131 0.9743589743589743 0.915916954062063 0.0015985807009360666
8.2 0.00997 0.163 0.0856 0.00220 0.9657197743654251 4.49493427015841 2.175669541390127 0.45188589168481047 0.8397435897435898 0.972027972027972 0.9135209125799534 0.0015970698692157773
9.2 0.00692 0.118 0.0595 0.00116 0.9142255857586861 4.397241468541324 2.174700852931457 0.41482314335117726 0.844311377245509 0.972027972027972 0.9146034755429435 0.001629437360103538
10.2 0.00562 0.136 0.0439 0.000815 0.9845502823591232 4.618963756598532 2.2352837494178424 0.4861944117033313 0.8383233532934131 0.9696969696969697 0.913336835860725 0.0016354419512069427
11.2 0.0183 0.181 0.102 0.00234 0.8970079757273197 3.963910727761686 1.9590314416589374 0.32792829386502675 0.8562874251497006 0.9718969555035128 0.9196272682412198 0.0012481096224575183
12.2 0.0174 0.125 0.0635 0.00110 0.9087145105004311 4.07074589561671 2.021945488350668 0.3612054507993224 0.844311377245509 0.9765807962529274 0.9187466181358773 0.0013851934990818018
