#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T08:19+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.475 1.27 1.10 0.0188 8.256665706634521 12.909273117780685 10.944054068997502 0.9922015794299435 0.7142857142857143 0.8442307692307692 0.7789564294896368 7.481536539712257E-4
2.2 0.446 0.658 0.547 0.00380 7.2254908829927444 11.959120124578476 9.438633379215995 0.9997285537244 0.7575757575757576 0.8576923076923076 0.8045021056157665 5.970084999709396E-4
3.2 0.332 0.557 0.439 0.00307 6.698381811380386 11.003275960683823 8.845356383671364 1.1110622323488588 0.7640692640692641 0.8807692307692307 0.8188695023029526 7.147014161034731E-4
4.2 0.292 0.448 0.360 0.00214 6.387837469577789 10.429957628250122 8.425327604170889 1.0893745766350789 0.7861771058315334 0.8865384615384615 0.8308192845821085 6.252091906700935E-4
5.2 0.243 0.534 0.301 0.00307 5.982262045145035 10.412162840366364 8.113126661007604 1.2322551732939229 0.7770562770562771 0.8942307692307693 0.8372279733105867 7.18207531010458E-4
6.2 0.213 0.573 0.414 0.00616 6.12506802380085 10.365864127874374 8.118705107985685 0.9329243461373491 0.7788461538461539 0.8942307692307693 0.833453574713024 7.399563169337342E-4
7.2 0.213 0.414 0.302 0.00321 5.723532661795616 10.063585191965103 7.697536245298883 1.1332723860360172 0.7942307692307692 0.8884615384615384 0.8430542838041488 7.895246088217747E-4
8.2 0.158 0.325 0.237 0.00233 5.465012911707163 10.255144566297531 7.49886834799933 1.2648133241664694 0.801923076923077 0.9019230769230769 0.8496840081714542 7.326073138071167E-4
9.2 0.118 0.259 0.188 0.00189 5.438322473317385 11.266773298382759 7.487922002115131 1.265519145942483 0.7987012987012987 0.9019230769230769 0.8520582084701955 6.193018053625922E-4
10.2 0.0855 0.206 0.152 0.00152 5.2878754287958145 10.609181195497513 7.469456385239027 1.435347851336139 0.8073593073593074 0.9076923076923077 0.8555129254744536 7.010887963207585E-4
11.2 0.143 0.389 0.289 0.00763 5.03495941311121 9.251833766698837 7.145420426658044 1.000169856422422 0.8056155507559395 0.9115384615384615 0.8568804815295096 7.686206995977785E-4
12.2 0.0997 0.269 0.200 0.00376 4.996567960828543 9.596825331449509 7.059602686436847 1.1314653212802657 0.7884615384615384 0.9173076923076923 0.8576811578600185 8.443004105993929E-4
