#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T15:39+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 1.26 2.26 2.19 0.0196 21.99089378118515 26.776187658309937 24.782916482537985 0.7714005260092552 0.508 0.616 0.5602726214238191 5.395076879550161E-4
2.2 0.976 1.33 1.25 0.00267 18.853976547718048 22.899882078170776 21.010543475548427 0.7531088296833863 0.5688622754491018 0.664 0.6150523120425815 4.2507167886308083E-4
3.2 0.804 1.07 1.01 0.00186 17.82783740758896 22.03385329246521 19.6527737552921 0.8516538670690528 0.590818363273453 0.696 0.6376177644710579 5.161419473873424E-4
4.2 0.755 0.904 0.850 0.00110 16.619264364242554 21.47528052330017 18.99946539849043 0.9333044485239146 0.62 0.686 0.6517252994011976 3.1228640974728693E-4
5.2 0.671 0.817 0.728 0.00106 16.33583974838257 21.251143991947174 18.552711707850296 1.070447378582974 0.612 0.712 0.6624666500332668 3.730028880885752E-4
6.2 0.691 0.976 0.853 0.00248 16.244428396224976 20.092154681682587 18.02312687660257 0.8151460604011805 0.614 0.7105788423153693 0.668791999334664 4.736826622727419E-4
7.2 0.572 0.789 0.702 0.00156 15.092974305152893 20.325468719005585 17.733151080086827 1.1445045989245768 0.63 0.734 0.6794476047904192 5.214793441952035E-4
8.2 0.466 0.652 0.583 0.00117 15.280845880508423 19.950869858264923 17.555691641444962 1.0926494949293613 0.6427145708582834 0.728 0.6841129407850964 3.8866366876953696E-4
9.2 0.405 0.542 0.482 0.000793 14.865045577287674 20.42439579963684 17.486788447325427 1.3542252476605392 0.646 0.7305389221556886 0.6882294577511644 4.7059288785716126E-4
10.2 0.357 0.529 0.402 0.000895 14.56970864534378 20.092702567577362 17.432486358409125 1.4466101983434747 0.644 0.742 0.6921005489021956 4.971586409081863E-4
11.2 0.454 0.641 0.575 0.00127 13.967564672231674 18.807130455970764 16.18345120921731 0.9903849755391568 0.6786427145708582 0.746 0.7079202428476381 2.976024772908565E-4
12.2 0.378 0.511 0.454 0.000822 13.681492984294891 18.859494149684906 16.267010025059182 1.3346237730031028 0.668 0.768 0.7101684131736526 5.438968078409792E-4
13.2 0.312 0.406 0.364 0.000529 14.098879277706146 19.09794133901596 16.534812202056248 1.2959131301650577 0.664 0.764 0.7085428310046573 4.266308844846225E-4
