#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T10:34+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.668 1.25 0.940 0.0373 2.3792201429605484 7.72316962480545 5.104752359601358 2.4782804509375262 0.62882096069869 0.912 0.8005519709709318 0.005271192355856007
2.2 0.196 0.722 0.493 0.0252 1.984252192080021 6.81836074590683 4.197974734939635 1.839758250863499 0.7117903930131004 0.9437751004016064 0.837355849630406 0.0034401409044838935
3.2 0.189 0.609 0.398 0.0181 1.724191814661026 6.563689231872559 3.9258150856476277 1.7466396539730873 0.7205240174672489 0.9437751004016064 0.8492264129776798 0.0030715811818296363
4.2 0.145 0.514 0.335 0.0138 1.499697357416153 5.813214838504791 3.619694664919128 1.254591243396118 0.7292576419213974 0.9357429718875502 0.8598215995204537 0.0021633299142275893
5.2 0.119 0.446 0.296 0.0111 1.4270451292395592 5.59825986623764 3.5983793251992515 1.2400380930303234 0.7467248908296943 0.9477911646586346 0.8573604584538312 0.002337041630199225
6.2 0.144 0.656 0.391 0.0313 1.2987893782556057 5.656278312206268 3.5883965083242706 1.3635547907855492 0.7641921397379913 0.9397590361445783 0.8606314624867385 0.002472101117209175
7.2 0.123 0.498 0.305 0.0146 1.3573893420398235 5.975450813770294 3.5769917448051274 1.2470228172616877 0.74235807860262 0.928 0.8601074854973211 0.002425146323618446
8.2 0.100 0.448 0.263 0.0113 1.3758119493722916 5.525600045919418 3.4699127364438027 1.1584017220443532 0.759825327510917 0.9357429718875502 0.8628788504931207 0.0022764514536530445
9.2 0.0808 0.384 0.233 0.00901 1.3633612245321274 6.158895790576935 3.5296281231567264 1.090122566876553 0.7248908296943232 0.948 0.863641886733467 0.0019648847444228732
10.2 0.0733 0.358 0.211 0.00799 1.3351692510768771 5.553969442844391 3.4724485754462266 1.1813659064224156 0.7641921397379913 0.944 0.8677853904060588 0.001912674418825305
11.2 0.105 0.617 0.327 0.0327 1.1853123866021633 5.6130697429180145 3.3916702735393 1.1456505022106411 0.7641921397379913 0.94 0.8687385622185118 0.0021292699600854
12.2 0.0865 0.431 0.250 0.0131 1.3501660749316216 5.659599989652634 3.3567951382137835 1.1294080317705129 0.7379912663755459 0.944 0.8680110728666619 0.002178357099678305
