#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T17:29+0000 #
#####################################################################
#
# seed = 2.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.358 0.695 0.570 0.0124 0.923596503213048 3.7367170602083206 2.4332351996176174 0.6774814893473338 0.72 0.96 0.8893055555555556 0.0025635337536117687
2.2 0.0920 0.367 0.245 0.00707 0.6151362700620666 3.0389575362205505 2.0156329954145145 0.5328329987577621 0.7911111111111111 0.9688888888888889 0.9017592592592593 0.00204791559408108
3.2 0.0613 0.317 0.202 0.00562 0.597672925927327 3.459336467087269 1.9848268899603905 0.651494794737591 0.7644444444444445 0.9777777777777777 0.9081018518518519 0.002286442780842308
4.2 0.0613 0.317 0.175 0.00480 0.5278236048761755 3.6432584673166275 1.8844340835899682 0.5842970871212007 0.8311111111111111 0.9777777777777777 0.9171666666666667 0.0013623882322038351
5.2 0.0456 0.254 0.159 0.00432 0.5912114699967788 4.3756226524710655 1.8491639622115954 0.6499537510749671 0.8044444444444444 0.9688888888888889 0.9216111111111112 0.0011404055686892573
6.2 0.0570 0.299 0.183 0.00583 0.44678443303564563 3.2852245680987835 1.7884235837139613 0.5494496327516124 0.8266666666666667 0.9866666666666667 0.9218611111111111 0.0012456519569214607
7.2 0.0532 0.253 0.160 0.00433 0.4949100654303038 4.112059116363525 1.8440942057652585 0.5783807740659432 0.8488888888888889 0.9777777777777777 0.9207037037037037 9.603852552315907E-4
8.2 0.0459 0.264 0.147 0.00436 0.42970481588236 5.112676560878754 1.8801972047957374 0.7499917074766217 0.84 0.9822222222222222 0.9207500000000001 0.00125475939059627
9.2 0.0367 0.235 0.135 0.00395 0.5343451750486565 3.42302343249321 1.8669711918971164 0.6561351330705555 0.8222222222222222 0.9777777777777777 0.9169259259259259 0.0015789678662113656
10.2 0.0260 0.246 0.123 0.00356 0.4050576575100422 3.992530435323715 1.8241016247711002 0.6560433944071139 0.8622222222222222 0.9822222222222222 0.9246944444444445 0.001030639611242448
11.2 0.0410 0.278 0.151 0.00478 0.4322890889179689 3.5433813221752644 1.770850659437671 0.5657084025076293 0.8177777777777778 0.9822222222222222 0.924037037037037 0.001155428071097101
12.2 0.0341 0.256 0.133 0.00397 0.4087896989658475 3.5953075289726257 1.744769059951319 0.5850540073746384 0.8355555555555556 0.9822222222222222 0.925037037037037 0.0011577017774275459
