#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T14:08+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.705 1.27 1.20 0.00599 5.572476506233215 7.88412618637085 6.5300089077403145 0.29822048765737574 0.608 0.784 0.7053333333333334 0.001977418439716312
2.2 0.565 0.775 0.695 0.00118 4.4139887392520905 7.254362165927887 5.4949749782681465 0.3084279351973686 0.684 0.82 0.75925 0.001121808510638299
3.2 0.486 0.634 0.568 0.00108 4.112667590379715 6.617374956607819 5.1269858271504445 0.34757287735825987 0.696 0.836 0.7735833333333333 0.0010530992907801422
4.2 0.417 0.548 0.493 0.000893 3.66214519739151 6.17477211356163 4.862695588730276 0.3332137850988492 0.74 0.84 0.7878333333333334 7.870354609929074E-4
5.2 0.388 0.522 0.438 0.000842 3.326891154050827 6.168931066989899 4.6905134391660495 0.2875618087813688 0.748 0.864 0.7955 7.255319148936162E-4
6.2 0.404 0.559 0.484 0.00125 3.527995377779007 6.170771062374115 4.665678722473483 0.34866591972425753 0.732 0.864 0.7973333333333333 7.695886524822687E-4
7.2 0.370 0.489 0.427 0.000859 3.480848491191864 6.170771062374115 4.582326392953594 0.32364668361414234 0.732 0.852 0.8011666666666667 6.30439716312056E-4
8.2 0.331 0.425 0.380 0.000652 3.2551077604293823 6.764619380235672 4.521347921807319 0.41997785441511787 0.732 0.856 0.80475 8.235957446808502E-4
9.2 0.290 0.397 0.343 0.000749 3.1067758202552795 6.445231795310974 4.5498325990823405 0.35360711144333296 0.76 0.872 0.80675 6.128723404255311E-4
10.2 0.253 0.389 0.311 0.000722 3.1157071590423584 6.307600975036621 4.581054365883271 0.4149229608034501 0.768 0.884 0.808 6.740425531914883E-4
11.2 0.277 0.436 0.378 0.000910 3.284785896539688 6.180322825908661 4.351878092158586 0.4133716230105977 0.744 0.876 0.8086666666666666 9.411631205673748E-4
12.2 0.277 0.388 0.336 0.000644 3.0436001271009445 6.271591901779175 4.382528720423579 0.3575097405468212 0.76 0.864 0.8104166666666667 7.399078014184383E-4
13.2 0.252 0.365 0.304 0.000630 2.9492407590150833 5.997368216514587 4.362663161319991 0.41952404214061967 0.744 0.876 0.81425 8.414680851063816E-4
14.2 0.218 0.314 0.276 0.000571 3.163689225912094 5.92778742313385 4.442439102722953 0.3667591763171674 0.756 0.872 0.8153333333333334 6.340992907801408E-4
15.2 0.183 0.316 0.251 0.000687 3.005895182490349 6.234087198972702 4.463917083727817 0.4983109176381097 0.76 0.876 0.8171666666666667 8.183546099290768E-4
16.2 0.254 0.395 0.327 0.000745 3.1197071969509125 5.767831265926361 4.169981299433857 0.3508275584249145 0.768 0.896 0.8245 8.215319148936162E-4
17.2 0.241 0.340 0.293 0.000725 3.029692806303501 5.773554176092148 4.246243674463282 0.32359255454214786 0.784 0.868 0.8208333333333333 5.174184397163111E-4
18.2 0.197 0.294 0.259 0.000532 3.109419196844101 6.311220794916153 4.292878060601652 0.4196513727129293 0.776 0.876 0.8211666666666667 6.529078014184387E-4
19.2 0.188 0.279 0.236 0.000482 2.9790423288941383 6.788728713989258 4.404122286010534 0.5360865960969673 0.776 0.88 0.8235 6.145531914893607E-4
20.2 0.166 0.264 0.215 0.000436 3.268371008336544 6.4209886491298676 4.459054969095935 0.5056478296001463 0.768 0.884 0.8231666666666667 6.147801418439706E-4
21.2 0.203 0.355 0.298 0.000818 2.9813324958086014 5.709311246871948 4.132457834513237 0.43965508852420254 0.776 0.888 0.8273333333333334 5.462695035460983E-4
22.2 0.203 0.309 0.259 0.000625 3.116163894534111 6.309993118047714 4.288045559078455 0.5211395193223115 0.776 0.884 0.8245 7.384680851063822E-4
23.2 0.177 0.300 0.235 0.000689 3.1506542414426804 6.136348724365234 4.342668935190886 0.46055373153614243 0.772 0.892 0.82225 7.740638297872329E-4
24.2 0.155 0.277 0.212 0.000522 2.9289375506341457 6.3617682456970215 4.365070157296334 0.44892973261164254 0.788 0.88 0.8261666666666666 5.269503546099282E-4
25.2 0.141 0.261 0.195 0.000645 2.964625798165798 6.754263758659363 4.4954889270787435 0.6063344810434868 0.768 0.888 0.8229166666666666 7.303758865248214E-4
26.2 0.212 0.336 0.271 0.000767 2.7787527963519096 5.876676082611084 4.110379331279546 0.4911892988784721 0.788 0.884 0.8305833333333333 7.66971631205673E-4
27.2 0.189 0.309 0.240 0.000607 3.160586565732956 6.033644527196884 4.264758369730164 0.51915565063929 0.772 0.9 0.8282499999999999 6.375531914893611E-4
28.2 0.162 0.272 0.213 0.000482 3.0286011025309563 5.865476667881012 4.326331990227724 0.3930748915896574 0.772 0.884 0.8275833333333333 6.612695035460983E-4
29.2 0.147 0.256 0.192 0.000482 2.9959446638822556 6.460795521736145 4.412443897686899 0.6069596700822831 0.788 0.896 0.8302499999999999 5.83425531914893E-4
30.2 0.131 0.283 0.178 0.000757 3.135452602058649 6.508975595235825 4.516113536665216 0.6112025629130349 0.768 0.892 0.8259166666666666 7.373546099290767E-4
#####################################################################
# End of data export. Simulation finished at: 2025-01-27T14:16+0000 #
#####################################################################
