#####################################################################
# Alchemist log file - simulation started at: 2025-01-22T10:48+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning:
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance]
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.647 1.59 1.34 0.0392 3.8296152651309967 7.136110991239548 5.738096425739618 0.374223136348805 0.7289156626506024 0.8798798798798799 0.8122412566345905 0.001197429596886013
2.2 0.322 0.699 0.525 0.0102 2.0405725091695786 5.569656074047089 3.8835581879203134 0.5480088954548624 0.8072289156626506 0.9041916167664671 0.8633006222773917 6.603342006986592E-4
3.2 0.237 0.426 0.330 0.00260 2.0405725091695786 5.266339719295502 3.4364844120752354 0.6281354932255708 0.8192771084337349 0.9156626506024096 0.8699760595200319 4.5317437142759797E-4
4.2 0.151 0.309 0.234 0.00133 1.8711184412240982 5.428773060441017 3.303605653488865 0.7240741910731355 0.8203592814371258 0.9216867469879518 0.8738249937016981 5.27177495825492E-4
5.2 0.121 0.236 0.174 0.000760 1.7816252931952477 5.268501833081245 3.265320524358406 0.8011180307446225 0.8313253012048193 0.912 0.8763972580684217 3.9276792241904835E-4
6.2 0.143 0.275 0.221 0.000867 1.5443004593253136 4.946754105389118 3.050932640854556 0.6546241757858563 0.8373493975903614 0.927710843373494 0.8840690835347065 4.6124181452117223E-4
7.2 0.110 0.222 0.160 0.000591 1.5190930515527725 5.011483516544104 3.070005262807871 0.7207004709859891 0.8323353293413174 0.924924924924925 0.8828254993990511 3.622764637312463E-4
8.2 0.0755 0.154 0.115 0.000435 1.5403755530714989 5.089486015960574 3.130932578458809 0.7478581163236866 0.8313253012048193 0.9221556886227545 0.880920135432364 4.8074911492729824E-4
9.2 0.0485 0.116 0.0818 0.000284 1.5091003887355328 5.290567182004452 3.2385294404006206 0.8540454965171874 0.8313253012048193 0.9161676646706587 0.8797262743755782 3.7386392050847044E-4
10.2 0.0325 0.146 0.0601 0.000315 1.527860265225172 5.488790914416313 3.294172394975948 0.8788143656890571 0.8313253012048193 0.928 0.8834372937698816 4.178324829819015E-4
11.2 0.0739 0.161 0.120 0.000527 1.3964385762810707 5.002244129776955 2.8929550349175073 0.7208282321856723 0.8502994011976048 0.933933933933934 0.8938041686167363 3.9016930758200294E-4
12.2 0.0450 0.107 0.0792 0.000227 1.4506895616650581 5.125507339835167 3.019110092642502 0.8112911433278783 0.8383233532934131 0.924 0.8907264252481769 4.048527214249592E-4
