#####################################################################
# Alchemist log file - simulation started at: 2025-01-27T13:54+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.460 1.39 1.32 0.0166 4.115985661745071 6.394804060459137 5.559903541579843 0.15723131108018226 0.764 0.892 0.8271666666666666 5.48056737588652E-4
2.2 0.364 0.533 0.480 0.000788 3.1015719175338745 4.6248244643211365 3.8713394353787103 0.12055368410756906 0.82 0.912 0.8645 2.680000000000005E-4
3.2 0.244 0.364 0.313 0.000534 2.53105628490448 4.16192914545536 3.442901437791685 0.1670053723482278 0.828 0.912 0.8743333333333333 3.77078014184398E-4
4.2 0.158 0.272 0.224 0.000390 2.4515356719493866 4.132431998848915 3.3137802900746465 0.18195264896847166 0.836 0.916 0.8774166666666666 3.686737588652489E-4
5.2 0.132 0.213 0.167 0.000301 2.4416702538728714 4.383120447397232 3.2515093302354217 0.2495618933357264 0.836 0.916 0.88175 4.1729787234042625E-4
6.2 0.127 0.274 0.218 0.000696 2.2469221651554108 3.9671317636966705 3.0860714574034014 0.19279099698909208 0.852 0.92 0.8873333333333333 2.8141843971631254E-4
7.2 0.0932 0.199 0.157 0.000424 2.1046093702316284 4.230387657880783 3.119336672437688 0.24700513820563783 0.844 0.916 0.8833333333333333 3.2771631205673823E-4
8.2 0.0806 0.146 0.113 0.000235 2.008553594350815 4.439453423023224 3.1478243063514433 0.2939506008910144 0.848 0.92 0.8863333333333333 3.702695035460999E-4
9.2 0.0508 0.115 0.0814 0.000175 2.3371062725782394 4.427135795354843 3.2345117301059267 0.28643800318750084 0.84 0.916 0.88525 3.7593617021276657E-4
10.2 0.0399 0.107 0.0591 0.000153 2.1091557145118713 4.899473398923874 3.3607127089829496 0.37234646805997557 0.844 0.92 0.885 3.5438297872340493E-4
11.2 0.0710 0.169 0.118 0.000338 1.9074365496635437 4.330407679080963 2.932611140810574 0.286860798370781 0.86 0.924 0.8935833333333334 2.558226950354614E-4
12.2 0.0545 0.111 0.0772 0.000164 1.979749634861946 4.647616744041443 3.074456994732221 0.33276163765916783 0.856 0.924 0.8935833333333334 2.953120567375892E-4
13.2 0.0324 0.0791 0.0533 9.38e-05 2.098673015832901 4.925789028406143 3.170888352751111 0.35925020609218533 0.848 0.92 0.8923333333333333 3.6890780141844037E-4
