#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T15:42+0000 #
#####################################################################
#
# seed = 0.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.807 1.74 1.52 0.0193 12.11743015050888 23.539199948310852 17.767755216298003 9.324732147721605 0.6007259528130672 0.7667304015296367 0.6972981007381247 0.0015531891940535824
2.2 0.687 1.03 0.848 0.00749 9.95086196064949 21.32663255929947 15.131696052616462 8.145617627764263 0.6333938294010889 0.799618320610687 0.7370505785648108 0.0012405871265393914
3.2 0.508 0.814 0.661 0.00596 9.289492458105087 19.480197429656982 14.007488557642017 6.8502250025021505 0.6588021778584392 0.8202676864244742 0.7580043178725527 0.0012526684570421805
4.2 0.402 0.671 0.534 0.00433 8.754847824573517 18.955885589122772 13.39185189923349 6.136256405666564 0.6787658802177858 0.8317399617590823 0.7700248210942682 0.001028914332118867
5.2 0.316 0.633 0.439 0.00467 8.61446088552475 18.024745166301727 12.979043016268406 5.9392061557644364 0.7005444646098004 0.8221797323135756 0.7795580272406483 9.516493088891491E-4
6.2 0.302 0.732 0.524 0.00942 8.396297216415405 17.63609677553177 12.571313978328059 5.8513407043098855 0.7041742286751361 0.8240917782026769 0.7837776562619534 9.235558179303496E-4
7.2 0.232 0.560 0.403 0.00594 7.915303319692612 17.5222225189209 12.21724467468448 5.773100212612593 0.7186932849364791 0.8413001912045889 0.7932413963842241 9.698160528002999E-4
8.2 0.176 0.446 0.316 0.00391 7.808708727359772 16.526483833789825 12.106491667422233 5.417140469504031 0.7223230490018149 0.8413001912045889 0.7980469850925996 9.02186746021113E-4
9.2 0.130 0.363 0.248 0.00319 8.048755675554276 16.56265839934349 12.165721624580328 5.14804098650043 0.7277676950998185 0.8527724665391969 0.8012581760974411 9.11551543232861E-4
10.2 0.0951 0.350 0.199 0.00281 7.921094626188278 16.65898260474205 12.260851913490722 5.338518517250982 0.7368421052631579 0.8451242829827916 0.8055617806591319 7.716199522977842E-4
11.2 0.0707 0.482 0.330 0.00860 7.4265802800655365 16.18926130235195 11.391804618770644 5.308935905170634 0.7404718693284936 0.8680688336520076 0.8100568632295223 9.676968436710181E-4
12.2 0.0515 0.359 0.236 0.00484 7.355311185121536 16.18819360435009 11.452130621182732 4.963213872352585 0.7441016333938294 0.869980879541109 0.8131891459346727 9.252362444610394E-4
