#####################################################################
# Alchemist log file - simulation started at: 2025-01-28T13:52+0000 #
#####################################################################
#
# seed = 3.0
#
# The columns have the following meaning: 
# time TrainingLoss[min] TrainingLoss[max] TrainingLoss[mean] TrainingLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.2 0.175 1.26 0.912 0.0452 1.4474259093403816 5.284693419933319 3.6999840570303304 0.5133888078887923 0.7819548872180451 0.9559748427672956 0.8591207714116481 0.0019516990248836233
2.2 0.149 0.563 0.343 0.0160 1.4474259093403816 3.9761024117469788 2.570788922991293 0.32526247551168264 0.8333333333333334 0.9622641509433962 0.9004807081294204 9.914232397690373E-4
3.2 0.0866 0.354 0.216 0.00639 1.2340973690152168 3.5347118377685547 2.249639418111959 0.2998817362666077 0.8560606060606061 0.9654088050314465 0.9136676291525603 7.335638224265537E-4
4.2 0.0556 0.239 0.148 0.00255 1.026269681751728 3.8824400305747986 2.1170499262855933 0.37398964285017444 0.8484848484848485 0.9685534591194969 0.9181421353616366 7.42186914288483E-4
5.2 0.0346 0.177 0.105 0.00133 0.8636282831430435 3.3746348917484283 2.0398013690040293 0.3466367848584758 0.8560606060606061 0.9622641509433962 0.9185923931471004 6.652842418222062E-4
6.2 0.0361 0.205 0.140 0.00232 0.7956816740334034 3.123791813850403 1.9528400547230071 0.3056643763716945 0.8712121212121212 0.9654088050314465 0.9249523054649589 4.507947815575228E-4
7.2 0.0242 0.137 0.0912 0.000993 0.7198285143822432 3.2721521258354187 1.899272325077618 0.3356824814668811 0.8712121212121212 0.9685534591194969 0.9257966748316679 5.287972108310208E-4
8.2 0.0182 0.0979 0.0620 0.000485 0.7053290521726012 3.578866630792618 1.9415522375614578 0.3980769067929596 0.8646616541353384 0.9685534591194969 0.9254454140268882 6.121369161189899E-4
9.2 0.00812 0.0746 0.0421 0.000265 0.7485098708420992 3.3472704961895943 1.9550777999393176 0.38656163018106166 0.8712121212121212 0.9592476489028213 0.9282626496995757 5.004203460025108E-4
10.2 0.00812 0.0562 0.0296 0.000151 0.7074832692742348 3.5226903408765793 2.0555433328912236 0.4487039084405326 0.8712121212121212 0.9622641509433962 0.9264981641711176 5.099226143856824E-4
11.2 0.00684 0.151 0.0796 0.00117 0.778537018224597 3.558811381459236 1.863317286433206 0.36584274609561745 0.8787878787878788 0.9779874213836478 0.9318215984355754 4.832607827958888E-4
